"id","instance","device","method","disappear_at_goal","rand_seed","cost","run_time","comment","method_source","date_edit"
"72","map_8by8_obst12_agents8_ex8.yaml","12400F","whoenig-origin","0","-1","50","0.003265","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:08"
"73","map_8by8_obst12_agents8_ex8.yaml","12400F","whoenig-origin","0","-1","50","0.002587","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:08"
"74","map_8by8_obst12_agents8_ex9.yaml","12400F","whoenig-origin","0","-1","36","0.002328","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:18"
"75","map_8by8_obst12_agents8_ex9.yaml","12400F","whoenig-origin","0","-1","36","0.002362","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:19"
"76","map_8by8_obst12_agents8_ex9.yaml","12400F","whoenig-origin","0","-1","36","0.002216","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:20"
"77","map_8by8_obst12_agents8_ex9.yaml","12400F","whoenig-origin","0","-1","36","0.002387","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:21"
"78","map_8by8_obst12_agents8_ex9.yaml","12400F","whoenig-origin","0","-1","36","0.002465","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:21"
"79","map_8by8_obst12_agents8_ex10.yaml","12400F","whoenig-origin","0","-1","59","0.177875","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:30"
"80","map_8by8_obst12_agents8_ex10.yaml","12400F","whoenig-origin","0","-1","59","0.177736","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:33"
"81","map_8by8_obst12_agents8_ex10.yaml","12400F","whoenig-origin","0","-1","59","0.177498","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:34"
"82","map_8by8_obst12_agents8_ex10.yaml","12400F","whoenig-origin","0","-1","59","0.177185","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:35"
"83","map_8by8_obst12_agents8_ex11.yaml","12400F","whoenig-origin","0","-1","56","10.0072","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:54:55"
"84","map_8by8_obst12_agents8_ex11.yaml","12400F","whoenig-origin","0","-1","56","10.0184","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:56:16"
"85","map_8by8_obst12_agents8_ex11.yaml","12400F","whoenig-origin","0","-1","56","10.0169","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:57:17"
"86","map_8by8_obst12_agents8_ex11.yaml","12400F","whoenig-origin","0","-1","56","9.98934","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-13 23:59:47"
"87","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","0","-1","60","40.8156","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:03:18"
"88","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","0","-1","60","40.8486","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:04:26"
"89","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","0","-1","60","40.7521","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:10:27"
"90","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","0","-1","60","40.7172","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:12:01"
"91","map_8by8_obst12_agents8_ex13.yaml","12400F","whoenig-origin","0","-1","67","0.279327","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:38"
"92","map_8by8_obst12_agents8_ex13.yaml","12400F","whoenig-origin","0","-1","67","0.279977","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:39"
"93","map_8by8_obst12_agents8_ex13.yaml","12400F","whoenig-origin","0","-1","67","0.278833","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:40"
"94","map_8by8_obst12_agents8_ex13.yaml","12400F","whoenig-origin","0","-1","67","0.28012","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:41"
"95","map_8by8_obst12_agents8_ex14.yaml","12400F","whoenig-origin","0","-1","44","0.007339","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:48"
"96","map_8by8_obst12_agents8_ex14.yaml","12400F","whoenig-origin","0","-1","44","0.007458","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:50"
"97","map_8by8_obst12_agents8_ex14.yaml","12400F","whoenig-origin","0","-1","44","0.01698","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:51"
"98","map_8by8_obst12_agents8_ex14.yaml","12400F","whoenig-origin","0","-1","44","0.006988","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:52"
"99","map_8by8_obst12_agents8_ex15.yaml","12400F","whoenig-origin","0","-1","29","0.006709","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:14:58"
"100","map_8by8_obst12_agents8_ex15.yaml","12400F","whoenig-origin","0","-1","29","0.006494","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:00"
"101","map_8by8_obst12_agents8_ex15.yaml","12400F","whoenig-origin","0","-1","29","0.006361","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:01"
"102","map_8by8_obst12_agents8_ex15.yaml","12400F","whoenig-origin","0","-1","29","0.006874","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:02"
"103","map_8by8_obst12_agents8_ex16.yaml","12400F","whoenig-origin","0","-1","52","0.005724","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:07"
"104","map_8by8_obst12_agents8_ex16.yaml","12400F","whoenig-origin","0","-1","52","0.005949","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:08"
"105","map_8by8_obst12_agents8_ex16.yaml","12400F","whoenig-origin","0","-1","52","0.005815","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:09"
"106","map_8by8_obst12_agents8_ex16.yaml","12400F","whoenig-origin","0","-1","52","0.005815","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:10"
"107","map_8by8_obst12_agents8_ex18.yaml","12400F","whoenig-origin","0","-1","45","0.00261","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:23"
"108","map_8by8_obst12_agents8_ex18.yaml","12400F","whoenig-origin","0","-1","45","0.002352","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:25"
"109","map_8by8_obst12_agents8_ex18.yaml","12400F","whoenig-origin","0","-1","45","0.002227","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:25"
"110","map_8by8_obst12_agents8_ex18.yaml","12400F","whoenig-origin","0","-1","45","0.002255","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:26"
"111","map_8by8_obst12_agents8_ex20.yaml","12400F","whoenig-origin","0","-1","54","5.43396","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:46"
"112","map_8by8_obst12_agents8_ex20.yaml","12400F","whoenig-origin","0","-1","54","5.43897","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:15:56"
"113","map_8by8_obst12_agents8_ex20.yaml","12400F","whoenig-origin","0","-1","54","5.44223","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 00:16:04"
"114","map_8by8_obst12_agents5_ex1.yaml","12400F","whoenig-origin","0","-1","35","0.00508","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:10:36"
"115","map_8by8_obst12_agents5_ex2.yaml","12400F","whoenig-origin","0","-1","25","0.002275","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:11:02"
"116","map_8by8_obst12_agents5_ex1.yaml","12400F","whoenig-origin","0","-1","35","0.005143","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:13:27"
"117","map_8by8_obst12_agents5_ex1.yaml","12400F","whoenig-origin","0","-1","35","0.004917","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:13:30"
"118","map_8by8_obst12_agents5_ex1.yaml","12400F","whoenig-origin","0","-1","35","0.005272","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:13:56"
"119","map_8by8_obst12_agents5_ex1.yaml","12400F","whoenig-origin","0","-1","35","0.004967","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 10:18:53"
"120","map_8by8_obst12_agents5_ex12.yaml","12400F","whoenig-origin","0","-1","29","0.000683","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:32:25"
"121","map_8by8_obst12_agents5_ex12.yaml","12400F","whoenig-origin","0","-1","29","0.002344","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:32:29"
"122","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","1","-1","53","0.004218","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:34:43"
"123","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","1","-1","53","0.00451","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:34:55"
"124","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","1","-1","53","0.004727","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:34:58"
"125","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","1","-1","53","0.008657","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:35:00"
"126","map_8by8_obst12_agents8_ex12.yaml","12400F","whoenig-origin","1","-1","53","0.004645","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:35:01"
"127","map_8by8_obst12_agents8_ex11.yaml","12400F","whoenig-origin","1","-1","49","0.01345","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:36:24"
"128","map_8by8_obst12_agents8_ex1.yaml","12400F","whoenig-origin","1","-1","65","138.837","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:44:37"
"129","map_8by8_obst12_agents8_ex1.yaml","12400F","whoenig-origin","1","-1","65","138.536","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:47:57"
"130","map_8by8_obst12_agents8_ex1.yaml","12400F","whoenig-origin","1","-1","65","138.679","https://github.com/whoenig/libMultiRobotPlanning","https://github.com/whoenig/libMultiRobotPlanning","2024-06-14 18:50:26"
